vvweight,college,medicare_expand,repeal_aca,regulate_carbon,prefertrump
.78950098,1,0,1,0,1
1.2950452,1,0,1,0,1
.80885741,1,1,0,1,0
.87156814,1,0,0,1,0
1.1859854,0,1,0,1,0
.09645355,1,1,0,1,0
.70840641,1,1,0,1,0
.6830967,1,1,0,1,0
.94952409,0,0,1,0,1
.67781304,1,1,0,1,0
.84230623,1,1,0,1,0
.81370128,1,1,0,1,0
1.175792,0,1,0,1,0
.73898534,1,1,0,1,0
.21548755,1,0,1,0,1
1.1870418,1,0,1,0,1
.78101529,1,1,0,1,0
1.0680196,1,1,0,1,0
3.0417992,1,1,0,1,0
.63796554,1,1,0,1,0
.73397662,1,1,0,1,0
.51333606,1,1,0,1,0
1.5996753,1,0,1,0,1
.6628437,1,0,1,0,1
.19925826,1,1,0,1,0
1.2065929,1,1,0,1,0
1.3706232,0,1,0,1,0
2.0540784,0,0,1,0,1
.52340249,1,0,1,0,1
1.1732026,1,1,0,1,0
.83989123,1,1,0,1,0
1.9646373,1,0,1,0,1
1.2349604,1,0,1,1,1
1.2645951,0,1,0,1,0
.8161068,0,1,0,1,0
.83783233,1,1,1,1,1
1.0311868,1,1,0,1,0
1.1667383,0,1,1,0,1
.83848102,1,1,0,1,0
.48414851,1,1,0,1,0
.47924493,1,0,1,0,0
.89930966,0,1,0,1,0
.54865122,1,1,0,1,0
1.0881272,1,0,0,1,0
1.0807067,1,0,1,0,1
1.8375086,1,0,1,0,1
1.2645951,1,1,0,1,0
1.4134717,1,0,1,1,1
.79207559,1,0,0,1,0
1.0986801,1,0,1,0,1
1.6907458,0,1,0,1,0
.50988004,0,1,0,1,0
1.0680196,1,1,0,1,0
.76836715,0,1,0,1,0
1.193382,1,1,0,1,0
.47017786,0,1,0,1,0
1.9163941,1,0,1,1,1
.98462811,1,1,0,1,0
.60961342,1,1,0,1,0
.73330996,1,1,0,1,0
1.122395,0,1,0,1,0
1.0013778,1,1,0,1,0
.73403641,0,0,1,0,1
1.0311868,1,1,0,1,0
1.0209121,1,1,0,1,0
1.1419764,1,0,0,0,1
.6442855,0,0,1,0,1
.96034231,1,1,0,1,0
.82713539,1,1,0,1,0
.66172744,1,1,0,1,0
1.5381041,0,0,1,0,1
1.473519,0,0,1,1,1
.81916221,1,1,1,1,0
.32828808,1,1,0,1,0
.38723446,0,1,0,0,0
.85639007,1,1,1,1,1
.48287346,1,0,0,1,0
.67207917,1,0,0,1,1
.97295089,1,1,0,1,0
2.3214871,1,1,1,1,1
.93791303,1,1,0,1,0
.9898045,1,1,0,1,0
1.3282217,1,0,1,1,1
.3515707,1,1,0,1,0
.71136306,0,1,0,1,0
.83152959,0,1,0,1,0
.93153188,1,1,0,1,0
1.586929,0,0,1,0,1
.8788326,0,1,0,1,0
1.0749654,1,1,0,1,0
1.6715622,0,0,0,0,1
.26484607,0,1,0,1,0
1.0798399,1,0,1,0,1
.76253036,1,1,0,1,0
1.4088081,1,1,0,1,0
.73011249,1,1,0,1,0
.8750405,1,1,0,1,0
.17223708,1,1,0,1,0
.69742107,1,0,1,0,1
.75304937,0,1,0,1,0
.97370297,0,0,0,1,0
.82495468,1,1,0,1,0
1.4948368,1,0,1,0,1
1.0574848,1,1,0,1,0
1.1061334,0,0,1,0,1
.88035345,1,1,0,1,0
2.048016,1,0,1,0,1
.99882748,1,1,0,1,0
.81351657,0,1,0,1,0
1.815207,0,0,1,1,1
.77248893,0,0,1,0,1
.50458263,1,1,0,1,0
.16978248,1,1,0,1,0
1.0343717,1,0,1,1,1
.93310658,1,1,1,1,0
.4907632,0,1,0,1,0
.9345691,0,1,1,1,1
1.4776577,1,0,1,0,1
.85920535,0,0,1,0,1
.99667744,0,0,1,1,1
1.0323294,1,0,0,1,1
.82713539,1,1,0,1,0
.70986887,1,1,0,1,0
.75565492,0,1,0,1,0
1.1927974,1,0,1,0,1
6.0718452,1,0,0,0,1
.82537519,0,0,1,0,1
.8501277,0,1,0,1,0
.58195844,1,1,0,1,0
1.274823,0,0,1,1,1
.86032796,1,0,0,1,0
.73011249,0,0,1,1,0
1.0486426,0,0,0,1,0
.90311055,0,1,0,1,0
1.2143365,0,1,1,1,0
.34679635,0,1,0,1,0
.75623808,1,1,0,1,0
.92029757,0,0,1,0,1
1.7855183,1,0,1,0,1
.65228877,0,1,0,1,0
1.6124956,1,0,0,0,1
.93194826,1,0,1,0,1
.67525572,0,1,0,1,0
1.1011201,1,1,0,1,0
.91977116,0,0,1,1,1
.94619924,1,1,0,1,0
1.4886294,0,0,1,0,1
.85416865,0,0,1,0,1
.81237318,1,0,1,0,1
.66982972,1,0,1,0,1
1.5915046,0,0,1,0,1
.99851757,1,0,1,0,1
.79935034,0,0,1,0,1
.63555088,1,0,0,1,0
.48479142,0,1,0,1,0
.69894479,1,1,0,1,0
1.038249,0,0,1,0,1
.84953156,0,1,0,1,1
.64453853,1,1,0,1,0
.53216575,1,1,0,1,0
.66172744,1,1,0,1,0
.41554126,1,1,0,1,0
.95255836,0,0,1,0,1
.75304937,1,1,0,1,0
1.4078216,0,0,1,0,1
1.8911692,1,0,1,0,1
